Price,Close
Ticker,AAPL
Date,
2020-01-02,72.40050506591797
2020-01-03,71.69662475585938
2020-01-06,72.2679443359375
2020-01-07,71.92807006835938
2020-01-08,73.0851058959961
2020-01-09,74.63749694824219
2020-01-10,74.80623626708984
2020-01-13,76.40441131591797
2020-01-14,75.3727035522461
2020-01-15,75.04971313476562
2020-01-16,75.98979187011719
2020-01-17,76.83108520507812
2020-01-21,76.31039428710938
2020-01-22,76.58280181884766
2020-01-23,76.95159912109375
2020-01-24,76.72982788085938
2020-01-27,74.47358703613281
2020-01-28,76.58039093017578
2020-01-29,78.18340301513672
2020-01-30,78.07009887695312
2020-01-31,74.60857391357422
2020-02-03,74.40369415283203
2020-02-04,76.86001586914062
2020-02-05,77.48675537109375
2020-02-06,78.39311218261719
2020-02-07,77.3275375366211
2020-02-10,77.69481658935547
2020-02-11,77.22604370117188
2020-02-12,79.05998992919922
2020-02-13,78.49700927734375
2020-02-14,78.5163345336914
2020-02-18,77.07866668701172
2020-02-19,78.19498443603516
2020-02-20,77.39278411865234
2020-02-21,75.64098358154297
2020-02-24,72.0479965209961
2020-02-25,69.60759735107422
2020-02-26,70.7118148803711
2020-02-27,66.08951568603516
2020-02-28,66.05085754394531
2020-03-02,72.20024871826172
2020-03-03,69.90721893310547
2020-03-04,73.14984130859375
2020-03-05,70.77705383300781
2020-03-06,69.83715057373047
2020-03-09,64.3135757446289
2020-03-10,68.94554901123047
2020-03-11,66.55103302001953
2020-03-12,59.978797912597656
2020-03-13,67.16475677490234
2020-03-16,58.52422332763672
2020-03-17,61.097537994384766
2020-03-18,59.60186767578125
2020-03-19,59.14518356323242
2020-03-20,55.39031982421875
2020-03-23,54.213600158691406
2020-03-24,59.65260314941406
2020-03-25,59.32399368286133
2020-03-26,62.44580078125
2020-03-27,59.86040496826172
2020-03-30,61.568695068359375
2020-03-31,61.443058013916016
2020-04-01,58.210105895996094
2020-04-02,59.181427001953125
2020-04-03,58.33091354370117
2020-04-06,63.419551849365234
2020-04-07,62.68501663208008
2020-04-08,64.28942108154297
2020-04-09,64.75332641601562
2020-04-13,66.02428436279297
2020-04-14,69.35871887207031
2020-04-15,68.72566223144531
2020-04-16,69.27174377441406
2020-04-17,68.33180236816406
2020-04-20,66.91346740722656
2020-04-21,64.84514617919922
2020-04-22,66.71293640136719
2020-04-23,66.45437622070312
2020-04-24,68.37287139892578
2020-04-27,68.42121887207031
2020-04-28,67.3121337890625
2020-04-29,69.52303314208984
2020-04-30,70.98968505859375
2020-05-01,69.84679412841797
2020-05-04,70.83505249023438
2020-05-05,71.89820098876953
2020-05-06,72.64000701904297
2020-05-07,73.39146423339844
2020-05-08,75.1382827758789
2020-05-11,76.32063293457031
2020-05-12,75.44841003417969
2020-05-13,74.53743743896484
2020-05-14,74.9953384399414
2020-05-15,74.55196380615234
2020-05-18,76.30850982666016
2020-05-19,75.86756134033203
2020-05-20,77.34305572509766
2020-05-21,76.76643371582031
2020-05-22,77.26066589355469
2020-05-26,76.73735046386719
2020-05-27,77.07170104980469
2020-05-28,77.10562133789062
2020-05-29,77.03050231933594
2020-06-01,77.9778060913086
2020-06-02,78.33880615234375
2020-06-03,78.77008056640625
2020-06-04,78.0916976928711
2020-06-05,80.31580352783203
2020-06-08,80.79066467285156
2020-06-09,83.34191131591797
2020-06-10,85.4860610961914
2020-06-11,81.38185119628906
2020-06-12,82.08445739746094
2020-06-15,83.09959411621094
2020-06-16,85.30192565917969
2020-06-17,85.18323516845703
2020-06-18,85.2171630859375
2020-06-19,84.73016357421875
2020-06-22,86.94703674316406
2020-06-23,88.80289459228516
2020-06-24,87.2353286743164
2020-06-25,88.3934555053711
2020-06-26,85.67748260498047
2020-06-29,87.65206146240234
2020-06-30,88.38373565673828
2020-07-01,88.21656799316406
2020-07-02,88.21656799316406
2020-07-06,90.5763931274414
2020-07-07,90.29533386230469
2020-07-08,92.39833068847656
2020-07-09,92.79563903808594
2020-07-10,92.9579849243164
2020-07-13,92.5291748046875
2020-07-14,94.06038665771484
2020-07-15,94.70724487304688
2020-07-16,93.54187774658203
2020-07-17,93.35292053222656
2020-07-20,95.32022857666016
2020-07-21,94.00462341308594
2020-07-22,94.26873016357422
2020-07-23,89.97793579101562
2020-07-24,89.75503540039062
2020-07-27,91.88226318359375
2020-07-28,90.37287139892578
2020-07-29,92.10517120361328
2020-07-30,93.21963500976562
2020-07-31,102.97868347167969
2020-08-03,105.57351684570312
2020-08-04,106.27855682373047
2020-08-05,106.66377258300781
2020-08-06,110.38518524169922
2020-08-07,107.87548828125
2020-08-10,109.44343566894531
2020-08-11,106.1885986328125
2020-08-12,109.71769714355469
2020-08-13,111.65945434570312
2020-08-14,111.55994415283203
2020-08-17,111.26866912841797
2020-08-18,112.19584655761719
2020-08-19,112.33660125732422
2020-08-20,114.82935333251953
2020-08-21,120.74677276611328
2020-08-24,122.19094848632812
2020-08-25,121.18851470947266
2020-08-26,122.8365478515625
2020-08-27,121.36810302734375
2020-08-28,121.1715316772461
2020-08-31,125.28072357177734
2020-09-01,130.27098083496094
2020-09-02,127.57194519042969
2020-09-03,117.35842895507812
2020-09-04,117.43610382080078
2020-09-08,109.53324890136719
2020-09-09,113.90216827392578
